"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"1" 1.0243789630942 0.0074144768517951 0.0452670766590237 0.0505614427424415 0.0488822528201062 0.0112648826286127 0.054051426623756 0.00954387980854488 0.0213034366359205 0.0308762174009801 0.0448195296523745 0.00847264720792335 0.0311577313918583 0.02905144722786 0.0256183644126425 0.0339270849041711 0.0376140625827406 0.0132067412779364 0.0439468338353415 0.0273293893937237
"2" 0.0074144768517951 1.09914431539364 0.0586503046229943 0.0489907280035504 0.0421562551805471 0.0667555590085632 0.0367494780988466 0.0378674923057309 0.0235540194648952 0.0576379665523093 0.0393585719686436 0.0438290095503898 0.0382841380379515 0.0345056257817345 0.0426168214338566 0.0369937906330234 0.0639996277642833 0.0227004074623606 0.0380090441891569 0.042305370143218
"3" 0.0452670766590237 0.0586503046229943 1.00302795579191 0.0454374964895262 0.0578964272739458 0.0695697106066605 0.0301017293910488 0.0468653320233229 0.0428867620725271 0.0562748591763133 0.0582884939983603 0.0453375289776458 0.0413506640297374 0.0522770699327192 0.0316997296414772 0.073363633118696 0.0632394508454155 0.036861935085176 0.0449380274109252 0.0276405167415347
"4" 0.0505614427424415 0.0489907280035504 0.0454374964895262 1.0381464299513 0.0662546958868972 0.031943400387513 0.0435047501474019 0.064197870804402 0.0533862061498787 0.0447384572562914 0.0229865838449908 0.0527746899063551 0.0590712863453188 0.0236332066843079 0.0426416854396579 0.0658480725586565 0.0536762449610167 0.0207300139955895 0.0458267854134257 0.0602253101565294
"5" 0.0488822528201062 0.0421562551805471 0.0578964272739458 0.0662546958868972 1.02235319521278 0.059114326185405 0.00901413519377383 0.0129436242620622 0.0226197807252164 0.0480107009669947 0.026021053736385 0.0235759936902784 0.00458889406273749 0.0542007693740671 0.0190090294320376 0.02878570546178 0.0595504483598017 0.0186463610303576 0.0553755089269559 0.0193951935285045
"6" 0.0112648826286127 0.0667555590085632 0.0695697106066605 0.031943400387513 0.059114326185405 1.01617324780673 0.0621033948865126 0.0421794231947391 0.0420469666139233 0.0446233736553759 0.0192649614055424 0.00371854620298962 0.0357433355349389 0.0463917333736178 0.0167371030696057 0.0366436228290274 0.0507676907109235 0.0266520633185938 0.0406490207436199 0.0414537247556458
"7" 0.054051426623756 0.0367494780988466 0.0301017293910488 0.0435047501474019 0.00901413519377383 0.0621033948865126 1.02557809927966 0.0326241995419001 0.0406405735518316 0.0268257217757789 0.0451374921154901 0.0674869243620961 0.0569058969674063 0.0486062762998352 0.0162047509614048 0.0494349835053692 0.0558982393288293 0.0473753667340769 0.0544744412771393 0.0498797910799091
"8" 0.00954387980854488 0.0378674923057309 0.0468653320233229 0.064197870804402 0.0129436242620622 0.0421794231947391 0.0326241995419001 1.08002698756754 0.0593389020747676 0.0108304150511793 0.033101883309979 0.0677230216982388 0.0416378288581529 0.0232472058066783 0.0329131287945883 0.0135272924645858 0.0309355930671207 0.0306900006854224 0.0713536736566626 0.0328423273144683
"9" 0.0213034366359205 0.0235540194648952 0.0428867620725271 0.0533862061498787 0.0226197807252164 0.0420469666139233 0.0406405735518316 0.0593389020747676 1.03400216165464 0.0559388583476863 0.0180605561309532 0.00616830264101982 0.0596891589096767 0.031015861852259 0.0283028874786398 0.0255494445065256 0.0492890519675128 0.0294453827187958 0.0461040558766536 0.00923641235629852
"10" 0.0308762174009801 0.0576379665523093 0.0562748591763133 0.0447384572562914 0.0480107009669947 0.0446233736553759 0.0268257217757789 0.0108304150511793 0.0559388583476863 1.06738450224511 0.0420859011967261 0.0334503232027344 0.0232703432882658 0.0443654994839856 0.0460735438073688 0.0319357881768942 0.0606659556327043 0.0293653563481265 0.054509261397844 0.0390346398859838
"11" 0.0448195296523745 0.0393585719686436 0.0582884939983603 0.0229865838449908 0.026021053736385 0.0192649614055424 0.0451374921154901 0.033101883309979 0.0180605561309532 0.0420859011967261 1.01783153705765 0.0622294808889386 0.034712870653263 0.0247500141868216 0.0445286958586797 0.0444177168305408 0.0709894779762781 0.0255859708774345 0.0449409679709374 0.0527377121032333
